Date,EM LATIN AMERICA SMALL CAP
2007-04,895.457531418549
2007-05,1000.0
2007-06,1032.604706501496
2007-07,1049.5855879911082
2007-08,998.0241962530127
2007-09,1021.700155755595
2007-10,1091.7995032886297
2007-11,988.5311087964592
2007-12,983.5291999330115
2008-01,860.736700052855
2008-02,914.5959529701364
2008-03,810.2397927981175
2008-04,881.870477617431
2008-05,937.8726514765641
2008-06,854.9555143620887
2008-07,828.2891901942642
2008-08,785.344517015057
2008-09,594.3243607038409
2008-10,441.0643390077984
2008-11,424.87908226069885
2008-12,405.4471784502731
2009-01,438.04194609459023
2009-02,425.15491219146713
2009-03,428.26160589723884
2009-04,550.0374801542745
2009-05,637.340623472871
2009-06,665.5404416249975
2009-07,768.2515954360657
2009-08,814.874847692422
2009-09,886.3011911419535
2009-10,907.080371730948
2009-11,981.2884375670523
2009-12,1084.1603174231057
2010-01,1074.6525986532972
2010-02,1140.6135768035558
2010-03,1172.7529565829716
2010-04,1228.1604437384674
2010-05,1220.021481915597
2010-06,1263.8627741654539
2010-07,1296.0333858520444
2010-08,1367.6432590595361
2010-09,1396.2444832389438
2010-10,1484.3566238948688
2010-11,1611.0901393469894
2010-12,1654.951932653464
2011-01,1527.6901583531742
2011-02,1482.7860298893645
2011-03,1493.8625739819395
2011-04,1501.901564732668
2011-05,1520.535547525003
2011-06,1442.5983217794071
2011-07,1399.562233126122
2011-08,1303.4010270481851
2011-09,1111.8652306571448
2011-10,1244.0563069198602
2011-11,1199.729524931764
2011-12,1208.7313182362843
2012-01,1371.6349022850993
2012-02,1457.0387799286364
2012-03,1461.815275704784
2012-04,1433.8209610545366
2012-05,1342.6741311408923
2012-06,1354.9818467149107
2012-07,1411.8926596055671
2012-08,1457.7044624692721
2012-09,1493.84311095904
2012-10,1503.1450796947258
2012-11,1456.6618341896096
2012-12,1553.5155778841886
2013-01,1595.0383096547794
2013-02,1651.8246946555903
2013-03,1656.2128888719512
2013-04,1571.9654027694548
2013-05,1455.2444352560603
2013-06,1283.0330926148044
2013-07,1207.147469278954
2013-08,1166.7207952558576
2013-09,1229.979435598839
2013-10,1215.252892434677
2013-11,1132.1229720695912
2013-12,1115.8258076275517
2014-01,1042.4020269253958
2014-02,1022.9247558964247
2014-03,1087.157963399524
2014-04,1085.7350294060368
2014-05,1133.0039205643604
2014-06,1166.0964699416918
2014-07,1145.6338036831455
2014-08,1231.6201066112824
2014-09,1137.7933846661715
2014-10,1148.2607274731852
2014-11,1102.8723036317108
2014-12,1039.329659281579
2015-01,1010.3496617299058
2015-02,1043.1525527185165
2015-03,1008.8458502952392
2015-04,1037.6413107547414
2015-05,1005.6731207222239
2015-06,972.4840823435192
2015-07,914.1008602656458
2015-08,806.9907689365804
2015-09,774.8577645260208
2015-10,825.4443709550873
2015-11,838.6806709870999
2015-12,794.4368178923575
2016-01,742.1895278264844
2016-02,773.385893312206
2016-03,856.099864109875
2016-04,898.9008384909876
2016-05,860.3857296876058
2016-06,937.5188705571588
2016-07,995.6269755253566
2016-08,1002.0638820214608
2016-09,980.0150611126635
2016-10,1092.4321323703025
2016-11,985.687427871533
2016-12,1002.9941855720172
2017-01,1066.1333860448729
2017-02,1140.4904795011307
2017-03,1151.022547545404
2017-04,1148.5417402549072
2017-05,1085.368411881041
2017-06,1086.2973257080664
2017-07,1152.6238060698472
2017-08,1211.9784740655045
2017-09,1243.1608134099931
2017-10,1207.8253110016326
2017-11,1142.7990827607548
2017-12,1195.358373441125
2018-01,1250.2379109357387
2018-02,1247.9948186976048
2018-03,1215.107850669431
2018-04,1226.473720478664
2018-05,1096.6682683540025
2018-06,1055.5446215174134
2018-07,1134.9841704286512
2018-08,1047.3539437334587
2018-09,1073.3352425759424
2018-10,1109.645791750914
2018-11,1111.445896161699
2018-12,1109.5034458864131
2019-01,1266.8643533158972
2019-02,1244.1151643655633
2019-03,1226.4646393102228
2019-04,1252.1901174908057
2019-05,1244.3672434537643
2019-06,1311.4653801302752
2019-07,1400.2938661534888
2019-08,1287.0839511606978
2019-09,1331.8305953997651
2019-10,1362.4147581122706
2019-11,1352.4562771326353
2019-12,1525.628228212984
2020-01,1501.7171942675925
2020-02,1330.7213773923272
2020-03,771.745950138476
2020-04,842.8264938608665
2020-05,878.236562189031
2020-06,954.9253317206355
2020-07,1010.9091524131343
2020-08,972.4930500211922
2020-09,929.5215967484505
2020-10,913.7101773843872
2020-11,1091.427357472434
2020-12,1175.3797711585992
2021-01,1107.307834172977
2021-02,1096.2683555930264
2021-03,1176.7119570613127
2021-04,1218.2787280899481
2021-05,1299.935920256834
2021-06,1389.2265437892697
2021-07,1307.2169820954248
2021-08,1292.312509588927
2021-09,1213.6552558478545
2021-10,1095.345592030992
2021-11,1069.7266932687678
2021-12,1139.6745945622738
2022-01,1238.0222238246438
2022-02,1224.627432853251
2022-03,1412.7157236334792
2022-04,1328.4280866224733
2022-05,1364.4587137321787
2022-06,1120.120929364744
2022-07,1209.075692444811
2022-08,1297.7008197978869
2022-09,1255.1906867383364
2022-10,1376.598244249185
2022-11,1261.838937307016
2022-12,1198.4470938472166
2023-01,1301.8731785865762
2023-02,1233.4109516964952
2023-03,1242.6597116509408
2023-04,1252.395328195237
2023-05,1377.044443060625
2023-06,1485.1086887988608
2023-07,1543.7951723950264
