Date,ANDEAN
2016-07,3984.1558662619595
2016-08,3948.6289773000685
2016-09,3901.101611467445
2016-10,4161.16697986232
2016-11,4123.230882541311
2016-12,4207.657663700926
2017-01,4320.719934870393
2017-02,4426.675938773094
2017-03,4631.20980485298
2017-04,4485.288318436941
2017-05,4452.991658529591
2017-06,4366.179672256035
2017-07,4515.078476495016
2017-08,4717.828371615296
2017-09,4802.267174044377
2017-10,4962.480063263172
2017-11,4537.896167939152
2017-12,5005.899438079873
2018-01,5235.332410412765
2018-02,5119.252492904301
2018-03,5073.941871861386
2018-04,5355.291642649411
2018-05,5170.441140356114
2018-06,5023.347953660764
2018-07,5138.9881455405275
2018-08,4799.76313706905
2018-09,4941.857919854096
2018-10,4651.9902415146635
2018-11,4686.268297046469
2018-12,4523.076989096309
2019-01,5022.484217648716
2019-02,5062.454710743302
2019-03,5065.772604808045
2019-04,4985.449890562074
2019-05,4560.715048266486
2019-06,4889.26930509861
2019-07,4806.656947290314
2019-08,4225.126601674096
2019-09,4398.162261005477
2019-10,4223.622398225521
2019-11,4022.3139038729414
2019-12,4324.306376510769
2020-01,4083.217985129322
2020-02,3670.993075277559
2020-03,2728.94499373699
2020-04,3081.8856382925374
2020-05,2998.9431482721952
2020-06,3099.941323712649
2020-07,3192.3867289276996
2020-08,3055.4153975150903
2020-09,2944.140263056978
2020-10,2953.718609089777
2020-11,3346.976119346175
2020-12,3700.965905107381
2021-01,3524.0587232617495
2021-02,3777.4879250165823
2021-03,3916.856735308446
2021-04,3575.1088218004643
2021-05,3514.4885693091055
2021-06,3523.453209067165
2021-07,3368.3423313014882
2021-08,3681.5288034867167
2021-09,3555.6720555778725
2021-10,3612.7936825390693
2021-11,3586.109222972744
2021-12,3436.7552530262737
2022-01,3899.106847336729
2022-02,4100.638585628514
2022-03,4629.793620567178
