Date,EM (EMERGING MARKETS)+CHINA A ONSHORE
2010-11,2545.4315631759155
2010-12,2611.088282209811
2011-01,2483.446098654751
2011-02,2478.836476574779
2011-03,2522.2962718825806
2011-04,2470.497857342569
2011-05,2465.8891910229945
2011-06,2427.559797855783
2011-07,2435.996677166711
2011-08,2238.739430071162
2011-09,2072.744687231519
2011-10,2222.1507664674696
2011-11,2150.3486571923904
2011-12,2177.876890290635
2012-01,2374.2973678736125
2012-02,2471.1170457560947
2012-03,2383.081098390517
2012-04,2402.0279087150166
2012-05,2338.130500787106
2012-06,2323.0589374521583
2012-07,2405.560548605086
2012-08,2324.714493763072
2012-09,2410.6175232556157
2012-10,2378.104029183445
2012-11,2370.2667735368505
2012-12,2499.8308680321757
2013-01,2483.9540552577987
2013-02,2552.6479629351147
2013-03,2532.392740598266
2013-04,2476.7327747440663
2013-05,2502.7981023080106
2013-06,2297.4767179001738
2013-07,2274.9664920070386
2013-08,2283.313845948152
2013-09,2359.722873563984
2013-10,2435.3514721979554
2013-11,2417.100957508868
2013-12,2344.33668654859
2014-01,2248.614398542135
2014-02,2246.1239244799126
2014-03,2295.676139084549
2014-04,2285.8456782364824
2014-05,2392.2649924634343
2014-06,2445.8095591173023
2014-07,2584.2198389241275
2014-08,2676.474168066563
2014-09,2646.2778378919747
2014-10,2707.1788265811338
2014-11,2750.7955142157916
2014-12,2857.54217861492
2015-01,3061.7670468460155
2015-02,3184.9005136270325
2015-03,3433.211912382781
2015-04,3635.1954617358606
2015-05,3670.6166696179166
2015-06,3448.3509550371973
2015-07,3148.42513046173
2015-08,2769.929365105345
2015-09,2678.363814360009
2015-10,2940.256186384871
2015-11,2993.5337643288826
2015-12,2896.4805189816107
2016-01,2525.5886524514212
2016-02,2499.6845639845046
2016-03,2704.517668585092
2016-04,2678.86170308002
2016-05,2669.6078634947685
2016-06,2754.775070366403
2016-07,2848.367613829477
2016-08,2939.7841060392366
2016-09,2922.9652094477783
2016-10,3008.1506765995673
2016-11,3030.5613577993595
2016-12,2989.8885308636973
2017-01,3050.858238297962
2017-02,3193.674543373205
2017-03,3223.6450287340767
2017-04,3201.762864
2017-05,3167.543104
2017-06,3200.301555
2017-07,3258.776955
2017-08,3322.07482
2017-09,3335.774425
2017-10,3498.052855
2017-11,3396.119418
2017-12,3473.419202
2018-01,3617.937615
2018-02,3505.394696
2018-03,3409.806839
2018-04,3407.8940946379985
2018-05,3421.758310309172
2018-06,3221.8087985647935
2018-07,3249.706676581555
2018-08,3151.5307536269243
2018-09,3157.1694646051956
2018-10,2944.1074397772095
2018-11,3053.753814883669
2018-12,2938.076551923833
2019-01,3182.7593158206932
2019-02,3318.10201810845
2019-03,3435.776194711215
2019-04,3498.7139417558055
2019-05,3248.0091383644026
2019-06,3371.9522995031334
2019-07,3421.7266749122787
2019-08,3298.3747430586054
2019-09,3384.8760208441013
2019-10,3435.396535821099
2019-11,3463.7946437006767
2019-12,3664.0457281933936
2020-01,3579.686379332092
2020-02,3458.338226254664
2020-03,2996.4724064558377
2020-04,3259.567699066677
2020-05,3212.1369693167326
2020-06,3438.9554632211334
2020-07,3613.9576935100836
2020-08,3673.011617023781
2020-09,3649.194156982158
2020-10,3765.3659557195024
2020-11,3979.1374364530393
2020-12,4163.496255268651
2021-01,4329.22175923461
2021-02,4346.466690682549
2021-03,4357.398269575302
2021-04,4379.2720539628
2021-05,4462.4013084630815
2021-06,4581.147308022018
2021-07,4295.575711399636
2021-08,4408.006773170327
2021-09,4366.601800686714
2021-10,4432.26072089367
2021-11,4437.590236350273
2021-12,4458.002769129052
2022-01,4331.625939348756
2022-02,4273.21938539366
2022-03,4119.666955568153
2022-04,4038.074824392916
2022-05,4023.404971885099
2022-06,4067.8703333341914
2022-07,4073.866858189844
2022-08,4077.514283556778
2022-09,3723.947794394643
2022-10,3513.343851738652
2022-11,3830.037832238366
2022-12,3681.693398340103
2023-01,3933.732463534778
2023-02,3801.127313287602
2023-03,3784.7530378257725
2023-04,3670.427165424352
2023-05,3664.057573832918
2023-06,3663.657661621535
2023-07,3844.452208239209
