Date,KOKUSAI INDEX (WORLD ex JP)
2016-10,222.9243229329406
2016-11,234.57355437239985
2016-12,241.890978957851
2017-01,241.48445046038265
2017-02,252.80753327155375
2017-03,254.18110113103688
2017-04,253.45036838188963
2017-05,250.42509952548775
2017-06,247.69382131721702
2017-07,245.43499603499822
2017-08,243.77911476214973
2017-09,250.72956065909202
2017-10,258.59355896955117
2017-11,257.92202635180246
2017-12,259.7363486581051
2018-01,263.7554154333253
2018-02,257.54515266506155
2018-03,249.82293984204009
2018-04,257.3447036679027
2018-05,268.46090758616776
2018-06,268.91664423664054
2018-07,277.4123183559537
2018-08,282.6856160463606
2018-09,284.1074754052153
2018-10,270.1582670332578
2018-11,273.60422970152763
2018-12,250.16361039682735
2019-01,269.0143758033215
2019-02,280.0012088080323
2019-03,287.8709029938687
