Date,EM (EMERGING MARKETS)+CHINA A ONSHORE
2022-02,4490.2052804371815
2022-03,4329.892600002322
2022-04,4244.687099666026
2022-05,4230.328565570937
2022-06,4280.568204944691
2022-07,4290.105014314006
2022-08,4295.289739182096
2022-09,3924.3588277727845
2022-10,3702.827413328421
2022-11,4036.9782328833694
2022-12,3882.1777462622076
2023-01,4148.193044497897
2023-02,4008.5938266484013
2023-03,3992.427149684829
2023-04,3872.3715073442067
2023-05,3866.742128231785
2023-06,3869.7872060331592
2023-07,4063.367782187286
