Date,HONG KONG-LISTED SOUTHBOUND + CHINA A
2016-03,2768.0688736360003
2016-04,2724.097946079284
2016-05,2764.6490810921996
2016-06,2795.6651564837416
2016-07,2866.6307800647864
2016-08,3009.7741567638923
2016-09,2973.055378134349
2016-10,3045.6286117588215
2016-11,3196.6371200630715
2016-12,3041.679452062592
2017-01,3089.389794291412
2017-02,3217.4235565810886
2017-03,3214.1943067028333
2017-04,3159.5384152019947
2017-05,3127.919547346722
2017-06,3214.0194195052627
2017-07,3266.3809495459664
2017-08,3355.93152023351
2017-09,3391.314279221453
2017-10,3543.9405702183553
2017-11,3458.85962785948
2017-12,3504.0418219668413
2018-01,3663.047747394417
2018-02,3508.103236900121
2018-03,3388.727601819822
2018-04,3378.6319910912457
2018-05,3480.935606526646
2018-06,3203.870305934196
2018-07,3139.482061959407
2018-08,3015.9759966014763
2018-09,3044.5461035207227
2018-10,2795.607822569868
2018-11,2934.326323646114
2018-12,2808.123127995459
2019-01,3030.7485907836594
2019-02,3308.860351972693
2019-03,3488.629523001691
2019-04,3538.270209220564
2019-05,3238.80527112828
2019-06,3365.3522776004834
2019-07,3425.713450133558
2019-08,3271.1197492880533
2019-09,3339.63740563982
2019-10,3363.670017413354
2019-11,3366.158973696181
2019-12,3577.5246279428943
2020-01,3514.6884466782008
2020-02,3526.134987927304
2020-03,3233.510449338408
2020-04,3445.374566955556
2020-05,3297.2420266171753
2020-06,3579.2192098115256
2020-07,3755.1822019564916
2020-08,3858.5928785256865
2020-09,3741.2633826600772
2020-10,3921.3386896021684
2020-11,4089.319618874648
2020-12,4212.241882636704
2021-01,4438.724917981785
2021-02,4442.43387539792
2021-03,4366.878931220609
2021-04,4396.425979940867
2021-05,4540.856682746428
2021-06,4594.0045441390985
2021-07,4264.961003395344
2021-08,4346.010986585473
2021-09,4356.02811602672
2021-10,4448.364699646593
2021-11,4496.640968222645
2021-12,4466.993457327979
2022-01,4282.922934302542
2022-02,4279.510358529264
2022-03,3981.0537645685695
2022-04,3863.6361125854587
2022-05,3905.0923667963452
2022-06,4296.823688383952
2022-07,4110.42293974636
2022-08,4030.1211999953543
2022-09,3675.579817656508
2022-10,3271.5514892736
2022-11,3667.7964171595786
2022-12,3664.001232956145
2023-01,3960.5388638045674
2023-02,3826.5255353018742
2023-03,3773.598189747734
2023-04,3644.418925086877
2023-05,3488.4536629174568
2023-06,3446.139253691733
2023-07,3623.753651955219
