Date,WORLD
2016-11,249.71101356290984
2016-12,257.24413307844657
2017-01,257.1852217634475
2017-02,268.9513699288874
2017-03,270.2413653033247
2017-04,269.4881065433251
2017-05,266.7419273268336
2017-06,264.1002334661159
2017-07,261.6806557097613
2017-08,259.99795907899306
2017-09,267.4429485748191
2017-10,276.6005326282881
2017-11,276.23828910079567
2017-12,278.0895759459095
2018-01,282.2691608052321
2018-02,276.48721220655165
2018-03,268.39510127546805
2018-04,276.5126097749781
2018-05,288.26608451196546
2018-06,288.1714940595796
2018-07,296.60976235799893
2018-08,302.1099310445266
2018-09,304.44192968045735
2018-10,289.2443627744342
2018-11,292.88814958767705
2018-12,268.1469326361623
2019-01,288.0178297927664
2019-02,299.1043312498975
2019-03,307.5165580747089
2019-04,319.2089300680348
2019-05,302.79331716448905
