Date,NORTH AMERICA SMALL CAP
2013-12,234.6446766681141
2014-01,234.83586096478288
2014-02,240.9877826411059
2014-03,240.50785234536716
2014-04,233.8612430901637
2014-05,239.886015400664
2014-06,251.95022072580437
2014-07,244.91127400126337
2014-08,261.24708647261315
2014-09,256.84767290754496
2014-10,268.76908800408023
2014-11,271.53593375732623
2014-12,283.0016126749962
2015-01,294.7349372193263
2015-02,314.25903059337793
2015-03,331.12357056646
2015-04,313.9103255363832
2015-05,326.2029276355644
2015-06,318.73418271982746
2015-07,317.5680859668346
2015-08,294.8124719607467
2015-09,281.6967466505495
2015-10,300.56172520628195
2015-11,320.02074936489913
2015-12,297.1257373017901
2016-01,275.2933576181554
2016-02,277.4500210008752
2016-03,287.45324418093327
2016-04,292.81537830318666
2016-05,306.1570479083649
2016-06,307.70817684518147
2016-07,321.3866014441239
2016-08,324.615268898791
2016-09,323.60348899683424
2016-10,317.76026515377293
2016-11,356.765128480925
2016-12,366.35602334518785
2017-01,363.1815661775985
2017-02,376.9611951746149
2017-03,374.4046434407133
2017-04,369.9896174279841
2017-05,353.61047289879764
2017-06,357.8494221375489
2017-07,350.85041510733475
2017-08,345.60378165585223
2017-09,363.92224319540713
2017-10,374.0660128940069
2017-11,374.97564654372337
2017-12,374.9522912501822
2018-01,370.21699453478664
2018-02,361.7783256075347
2018-03,362.0235069069179
2018-04,370.7442992582735
2018-05,403.91418826161174
2018-06,406.86588070385943
2018-07,412.41340776231124
2018-08,431.93548968292276
2018-09,424.5849742058076
2018-10,391.3377840432593
2018-11,397.43648052411316
2018-12,350.30538265220747
2019-01,390.06765214365714
2019-02,411.578640832009
2019-03,412.71575369222813
2019-04,426.6816371363798
2019-05,397.6480720374527
2019-06,415.6908572881902
2019-07,431.05114893096845
2019-08,418.4105254973254
2019-09,429.35354432273084
2019-10,426.40238733913753
2019-11,448.3238856927609
2019-12,452.97870493589346
2020-01,446.4694147082234
2020-02,410.8814032296167
2020-03,316.27813819915264
2020-04,366.26711095569453
2020-05,385.9845487557561
2020-06,395.1312274074324
2020-07,391.2962521791124
2020-08,404.65185913179613
2020-09,399.92721665430133
2020-10,411.83611872836116
2020-11,466.88475422762275
2020-12,491.6152894934151
2021-01,512.994741084744
2021-02,546.4222684240875
2021-03,575.9910541075733
2021-04,583.7378744474433
