Date,AC EUROPE SMALL CAP
2016-09,1454.898835494078
2016-10,1419.8365908081412
2016-11,1435.8908963783663
2016-12,1506.1623641550548
2017-01,1520.6585134289303
2017-02,1570.3052710281597
2017-03,1611.7739731565766
2017-04,1689.1408178450151
2017-05,1706.2071272020876
2017-06,1665.9768183123826
2017-07,1684.2793588093255
2017-08,1674.9784597729529
2017-09,1748.1674748557678
2017-10,1783.8971598766288
2017-11,1749.324139073651
2017-12,1792.5783466536534
2018-01,1827.9754755558822
2018-02,1775.3857914726063
2018-03,1744.5668697432045
2018-04,1813.7163798891488
2018-05,1841.6881470701935
2018-06,1819.8894995724097
2018-07,1843.5532307723952
2018-08,1830.4082453851968
2018-09,1796.9959061290472
2018-10,1661.4543745436513
2018-11,1607.1277140891366
2018-12,1504.5913959908378
