Date,EM EASTERN EUROPE SMALL CAP
2017-01,708.8195268340644
2017-02,723.4028844361567
2017-03,734.3548104352014
2017-04,746.3970312879972
2017-05,729.8204109047862
2017-06,735.0363911673085
2017-07,746.6814486499503
2017-08,766.8100946979733
2017-09,771.9262136362937
2017-10,769.2950606004715
2017-11,725.2183888975235
2017-12,722.0500301083111
2018-01,726.3112415261268
2018-02,700.6753151672345
2018-03,681.9585484248757
2018-04,656.7603567204211
2018-05,653.4776319901324
2018-06,610.6288086487536
2018-07,621.8061011541364
2018-08,587.4605114448469
2018-09,577.4597699552228
2018-10,554.1129344457894
2018-11,576.5622917282664
2018-12,552.88740393732
2019-01,600.8846043900937
2019-02,601.7945418354077
2019-03,594.2610237793349
2019-04,597.7307344832332
2019-05,586.4880653753611
2019-06,630.7937760109602
2019-07,635.6690087812196
2019-08,607.3402132759201
2019-09,593.4449997454093
2019-10,603.5932849078284
2019-11,622.7561106387753
2019-12,646.8667304810451
2020-01,651.8417998790585
2020-02,576.2269391925947
2020-03,445.923016276726
2020-04,515.0105193757788
2020-05,537.9932286700159
2020-06,569.0728213481586
2020-07,576.8032483463485
2020-08,592.4461192822805
2020-09,577.2157900147648
2020-10,524.4158248271585
2020-11,628.8104800547027
2020-12,657.2322470260741
2021-01,704.1688176536521
2021-02,765.9682048609519
2021-03,756.3779948422848
2021-04,781.6550203594397
2021-05,848.0509264362943
2021-06,856.3667709682156
2021-07,855.4137078181566
2021-08,910.116152197216
2021-09,901.1181556803432
2021-10,961.281495788932
2021-11,874.005433968219
2021-12,868.3941916658555
2022-01,811.4378728471969
2022-02,602.691131378275
2022-03,475.26601405431865
2022-04,440.24788751972613
2022-05,454.2170147995226
2022-06,425.71214962665294
2022-07,425.72111864043046
2022-08,410.42069763609663
2022-09,357.1673011484018
2022-10,392.6860172747506
2022-11,440.76689923574565
2022-12,447.61661684350133
2023-01,485.1580998933052
2023-02,472.2927518614718
2023-03,469.01722172951725
2023-04,513.9961803761971
2023-05,508.5137594604799
2023-06,550.195740977678
2023-07,617.1338369956485
