Date,EAFE ex UK
1999-05,2567.525976819275
1999-06,2694.6564381112216
1999-07,2786.0157795962095
1999-08,2802.091642571995
1999-09,2849.937311091751
1999-10,2962.79915575412
1999-11,3082.761024425631
1999-12,3384.3709657837194
2000-01,3191.8610490168144
2000-02,3319.9297118959203
2000-03,3421.274989197468
2000-04,3231.9386087587377
2000-05,3160.7154954672465
2000-06,3308.1984391338437
2000-07,3130.640226587475
2000-08,3156.249372741248
2000-09,2985.2017845246723
2000-10,2890.493973189825
2000-11,2798.84667566769
2000-12,2874.339824469064
2001-01,2885.2867155915196
2001-02,2662.208146578232
2001-03,2469.3498793620547
2001-04,2645.519796972084
2001-05,2550.597576244799
2001-06,2441.513596157476
2001-07,2384.0714658969987
2001-08,2312.9053221661343
2001-09,2054.643694913622
2001-10,2111.2712508903537
2001-11,2198.776613300806
2001-12,2198.8814748752716
2002-01,2073.8706324613395
2002-02,2096.8300425681896
2002-03,2215.802596835566
2002-04,2233.030717988454
2002-05,2282.8179339190715
2002-06,2193.955493253872
2002-07,1952.4149338054021
2002-08,1954.0333016686354
2002-09,1741.3550096680126
2002-10,1818.845190420425
2002-11,1912.124822980039
2002-12,1839.1639678566887
2003-01,1782.6440216428382
2003-02,1737.2638327256404
2003-03,1691.1676328914864
2003-04,1853.0566548476108
2003-05,1964.7869176428644
2003-06,2023.9478438657063
2003-07,2086.529668371612
2003-08,2160.3203884052205
2003-09,2223.5415071392745
2003-10,2357.8060472534107
2003-11,2404.06472651351
2003-12,2594.573476133044
2004-01,2646.7974107450796
2004-02,2687.486997403523
2004-03,2729.7294531811963
2004-04,2653.8936059041635
2004-05,2646.2318222301033
2004-06,2723.861297964474
2004-07,2615.137265843596
2004-08,2625.4893704114997
2004-09,2688.7362008212303
2004-10,2789.373621135281
2004-11,2983.3780106982003
2004-12,3125.69106688122
2005-01,3056.66869409965
2005-02,3183.170270028531
2005-03,3104.6007722203835
2005-04,3018.048577709292
2005-05,3029.8072369099154
2005-06,3067.358921404912
2005-07,3178.883006707171
2005-08,3254.1242347680645
2005-09,3429.5041594369195
2005-10,3330.779573075867
2005-11,3434.629791164513
2005-12,3614.0853218126376
2006-01,3838.0309048359445
2006-02,3834.801589961603
2006-03,3966.075749052362
2006-04,4141.408121047405
2006-05,3955.5105080866556
2006-06,3942.4919636791374
2006-07,3965.203159719263
2006-08,4078.401265621629
2006-09,4093.199083035596
2006-10,4238.209529251294
2006-11,4372.334396967462
2006-12,4517.803616531114
2007-01,4560.064734922673
2007-02,4610.11569979222
2007-03,4716.987094562895
2007-04,4926.492022934953
2007-05,5013.770050321245
2007-06,5002.327187855463
2007-07,4944.139364153307
2007-08,4856.368841494828
2007-09,5140.967485921707
2007-10,5311.908227214221
2007-11,5170.417701044904
2007-12,5060.5536518960735
2008-01,4588.596288295346
2008-02,4667.67325602315
2008-03,4632.679736860674
2008-04,4870.821567876322
2008-05,4939.504001353073
2008-06,4509.854812889775
2008-07,4376.354914137208
2008-08,4189.027299017142
2008-09,3587.850088263564
2008-10,2851.6946354786114
2008-11,2706.0762750950307
2008-12,2935.479048785792
2009-01,2621.2706864600486
2009-02,2338.2988583434826
2009-03,2502.5578416316744
2009-04,2824.2466459714888
2009-05,3143.4488647407184
2009-06,3131.5091418767065
2009-07,3416.2601143391066
2009-08,3601.104195622978
2009-09,3748.8842357937474
2009-10,3677.1565737326914
2009-11,3741.945574531168
2009-12,3783.706037386674
2010-01,3621.2617151635254
2010-02,3604.0637375087413
2010-03,3831.7042073169155
2010-04,3755.3779280693097
2010-05,3316.9941486981656
2010-06,3294.931990580322
2010-07,3584.0563832448524
2010-08,3461.749441346634
2010-09,3808.9091482477957
2010-10,3943.0212018950647
2010-11,3754.254826713932
2010-12,4066.4687907303687
2011-01,4166.651920939189
2011-02,4292.678119768434
2011-03,4198.727566435404
2011-04,4437.216708581546
2011-05,4296.657860253216
2011-06,4262.1567613565
2011-07,4175.2966052965685
2011-08,3778.594995071657
2011-09,3410.6751685905347
2011-10,3716.1517339348125
2011-11,3512.69244580931
2011-12,3468.633488105008
2012-01,3672.648430372439
2012-02,3889.0508430780305
2012-03,3879.1998241348147
2012-04,3766.883990065945
2012-05,3334.278241235784
2012-06,3567.089095189032
2012-07,3607.178929354418
2012-08,3696.498287768519
2012-09,3812.5995262987144
2012-10,3846.5872687215806
2012-11,3951.0853954430313
2012-12,4090.6154667918363
2013-01,4323.1267142241595
2013-02,4301.259351761098
2013-03,4332.182227572703
2013-04,4583.776553015243
2013-05,4441.23593421971
2013-06,4304.097137730989
2013-07,4515.611404882373
2013-08,4444.686359230953
2013-09,4796.150121394396
2013-10,4955.581737072765
2013-11,4990.239647414723
2013-12,5047.794956716337
2014-01,4848.352616274079
2014-02,5098.035386873529
2014-03,5101.184086169905
2014-04,5132.872374723145
2014-05,5227.873846083566
2014-06,5282.990443710575
2014-07,5169.261927237094
2014-08,5153.845673874875
2014-09,4975.10777916117
2014-10,4914.858691997065
2014-11,4989.421228878629
2014-12,4806.384533058558
2015-01,4849.151742653123
2015-02,5135.311525281364
2015-03,5115.180550956476
2015-04,5288.294413991266
2015-05,5255.932021644095
2015-06,5116.909099927806
2015-07,5227.645106563899
