Date,MSCI EAFE Top 100 Select Index
2013-11,2527.626930546829
2013-12,2569.035723290267
2014-01,2443.735657310143
2014-02,2584.878433630466
2014-03,2562.2996563804995
2014-04,2618.523207641768
2014-05,2651.012455542334
2014-06,2657.235438295688
2014-07,2596.68911272234
2014-08,2598.8678420908795
2014-09,2497.983509960036
2014-10,2447.761571666131
2014-11,2479.5906244125895
2014-12,2371.9050040713196
2015-01,2363.1357335079347
2015-02,2513.7511007362177
2015-03,2459.7943051870893
2015-04,2560.6789981906736
2015-05,2531.218287988338
2015-06,2448.456429574674
2015-07,2508.5578094983107
2015-08,2304.1903048960094
2015-09,2181.755099478459
2015-10,2355.4132488138907
2015-11,2303.5995488295
2015-12,2260.386225588752
2016-01,2086.9605603480336
2016-02,2033.8211293794282
2016-03,2145.396640581505
2016-04,2214.0463037989325
2016-05,2199.265680994761
2016-06,2135.3729585002047
2016-07,2220.1162170373823
2016-08,2232.4916326065963
2016-09,2257.4538039230033
2016-10,2210.84389394699
2016-11,2173.192161844424
2016-12,2264.794432627402
2017-01,2322.8742434383526
2017-02,2355.3525154808376
2017-03,2423.2680481928533
2017-04,2479.127047338916
2017-05,2564.6699306000337
2017-06,2545.4273794771543
2017-07,2613.173432460096
2017-08,2603.449462842802
2017-09,2681.8528883961485
2017-10,2710.9211729372087
2017-11,2740.116141164299
2017-12,2780.6178403426093
2018-01,2912.873440515813
2018-02,2748.7611842571755
2018-03,2693.7469081987583
2018-04,2762.861752310903
2018-05,2682.034792453671
2018-06,2662.520855823396
2018-07,2747.5369901298513
2018-08,2677.2222890396383
2018-09,2708.0943629428725
2018-10,2521.8369579070763
2018-11,2514.669365342528
2018-12,2401.146573983291
2019-01,2540.1396335617824
2019-02,2629.2624439327683
2019-03,2651.349676155305
2019-04,2730.8213804616666
2019-05,2619.8779580397527
2019-06,2789.9533591664504
2019-07,2752.579569997659
2019-08,2681.505199931437
2019-09,2750.769733351903
2019-10,2836.709773585679
2019-11,2871.897794062334
2019-12,2969.7459950890675
2020-01,2895.0158374627235
2020-02,2631.469780637831
2020-03,2316.5419866970383
2020-04,2450.2037064707315
2020-05,2528.948666827394
2020-06,2632.665355015743
2020-07,2685.988500222395
2020-08,2795.239238824317
2020-09,2719.00159928062
2020-10,2591.8347519871536
2020-11,2997.567529115203
2020-12,3146.331751827672
2021-01,3109.3395213299113
2021-02,3193.6304511017274
2021-03,3252.570692341108
2021-04,3361.1002172312074
2021-05,3486.7275013653125
2021-06,3438.3993776788984
2021-07,3463.168045410291
2021-08,3511.3961268612597
2021-09,3412.313518873674
2021-10,3526.308737580366
2021-11,3365.27424980024
2021-12,3563.992233121805
2022-01,3430.7045193480167
2022-02,3368.354634142064
2022-03,3423.8380724081435
2022-04,3206.3016552361287
2022-05,3247.848803501231
2022-06,2946.984201034479
2022-07,3078.188034014895
2022-08,2936.0314622111473
2022-09,2678.0742114191185
2022-10,2843.2620772377854
2022-11,3187.608610842296
2022-12,3173.2211712463695
2023-01,3444.525688165277
2023-02,3347.148982503032
2023-03,3442.456491338589
2023-04,3550.844174864482
2023-05,3406.858833269101
2023-06,3573.1730273501976
2023-07,3670.269161563235
