Date,EFM CEEC ex RU
2020-07,543.8981781940067
2020-08,563.0856194279654
2020-09,509.71753187774755
2020-10,454.5698610204652
2020-11,568.6571420514883
2020-12,618.3383312192487
2021-01,621.0803213872038
2021-02,613.1057515437441
2021-03,602.0594344983884
2021-04,647.3624293006174
2021-05,727.6220287385869
2021-06,705.3140905625298
2021-07,715.574623582196
2021-08,762.3328855571554
2021-09,738.6322271809743
2021-10,769.8534699569983
2021-11,699.5013355208298
2021-12,725.9000480223812
2022-01,710.7409416632993
2022-02,612.2435727145457
2022-03,634.8296315877692
2022-04,552.7809620138669
2022-05,550.635516345932
2022-06,502.0904408879333
2022-07,507.3643940359637
2022-08,471.1454393391376
2022-09,408.46352815527223
2022-10,454.5114619980706
2022-11,524.4699189344923
2022-12,546.0717715449896
2023-01,588.0520013057152
