Date,ACWI ex CHILE
2017-04,2338.201175
2017-05,2389.894154
2017-06,2400.817325
2017-07,2467.723224
2017-08,2477.0045
2017-09,2524.86288
2017-10,2577.185224
2017-11,2627.605479
2017-12,2669.483604
2018-01,2820.023625
2018-02,2701.568826
2018-03,2643.719167
2018-04,2668.9393732099065
2018-05,2672.601353763967
2018-06,2658.291026736826
2018-07,2738.405682410455
2018-08,2760.2669623036045
2018-09,2772.19863557891
2018-10,2564.481854401297
2018-11,2601.9300651691883
2018-12,2418.553641
2019-01,2609.3876111927716
2019-02,2679.374704653891
2019-03,2713.2685289776364
2019-04,2805.0607523174554
2019-05,2638.7630380483924
2019-06,2811.570739809255
2019-07,2819.9739110445025
2019-08,2753.1961777834817
2019-09,2811.064465239548
2019-10,2888.2999869140717
2019-11,2959.2086768260847
2019-12,3063.233683218006
2020-01,3029.5779661408224
2020-02,2784.9857120050815
2020-03,2409.1043506290584
2020-04,2667.08421072534
2020-05,2783.2959944317704
2020-06,2872.17307496395
2020-07,3023.9639988250638
2020-08,3209.405665556565
2020-09,3105.94111551724
2020-10,3030.396307575408
2020-11,3403.889295307285
2020-12,3561.7654972100045
2021-01,3545.5559358368623
2021-02,3627.5485151036664
2021-03,3724.294474912916
2021-04,3887.5012758449056
2021-05,3948.1317231635817
2021-06,4000.230801
2021-07,4027.9437067858735
2021-08,4128.7131165237215
2021-09,3958.209764331294
2021-10,4160.507552419745
2021-11,4060.162984
2021-12,4222.818071916372
2022-01,4015.1209598907935
2022-02,3911.300367733321
2022-03,3995.8332722397145
2022-04,3676.096072933648
2022-05,3680.0407767222473
2022-06,3370.0865314285993
2022-07,3605.3213966102826
2022-08,3472.449091731457
2022-09,3140.056909625448
2022-10,3329.6200873144817
2022-11,3587.911397788359
2022-12,3446.691273930864
2023-01,3693.6686074834847
2023-02,3587.8368062669815
2023-03,3698.5455891106267
2023-04,3751.783821798444
2023-05,3711.6460432192835
2023-06,3927.0983889086706
2023-07,4070.8141668484736
