Date,ACWI ex SPAIN
2016-01,1878.923011499648
2016-02,1866.5921188617194
2016-03,2004.8135594237706
2016-04,2033.614878246117
2016-05,2036.7872874943484
2016-06,2026.4910332068014
2016-07,2113.413102083368
2016-08,2120.3143002745887
2016-09,2133.1384346817426
2016-10,2095.856953061478
2016-11,2113.8632496115824
2016-12,2158.283759353244
2017-01,2217.3055616871634
2017-02,2280.024791024573
2017-03,2305.635245426048
2017-04,2340.802459
2017-05,2391.838282
2017-06,2403.236753
2017-07,2469.87595
2017-08,2479.809728
2017-09,2528.03737
2017-10,2581.114795
2017-11,2631.826729
2017-12,2675.034872
2018-01,2825.013597
2018-02,2707.550784
2018-03,2649.527741
2018-04,2674.318424911361
2018-05,2680.308267037143
2018-06,2664.9975289846316
2018-07,2745.162468461609
