Date,AC ASIA PACIFIC
2017-12,277.138114
2018-01,293.471493
2018-02,283.197625
2018-03,277.032845
2018-04,279.44205421761313
2018-05,276.9576245047645
2018-06,267.85004632649543
2018-07,270.0457155384118
2018-08,268.3864016452747
2018-09,269.19181404069985
2018-10,243.46465608050582
2018-11,250.42339662653825
2018-12,239.67997277915586
2019-01,256.0550120692952
2019-02,259.7140694253927
2019-03,262.7937431036784
2019-04,267.09254977647055
2019-05,251.4415617602511
2019-06,264.96871045994783
2019-07,262.88876855891334
2019-08,254.63449219083537
2019-09,261.35147398612804
2019-10,272.7218217393834
2019-11,274.018854827631
2019-12,286.08528152482955
2020-01,277.9397633908507
2020-02,261.1218545975623
2020-03,230.92186900182492
2020-04,249.78054159506198
2020-05,254.62288119892477
2020-06,267.7196292720415
2020-07,279.8922536051419
2020-08,294.1131045856868
2020-09,290.65406757369954
2020-10,293.6143984877675
2020-11,323.6819708908426
2020-12,342.46003334769654
2021-01,349.374446976125
2021-02,354.3048823281973
2021-03,350.468237261729
2021-04,355.39156413782587
2021-05,360.69459707410294
2021-06,359.6267314984438
2021-07,341.7945114178701
