Date,EMU ex GERMANY
2007-03,311.10525434917537
2007-04,331.9607054511847
2007-05,338.9814526956301
2007-06,335.3441545418647
2007-07,328.8828359157959
2007-08,324.2984356179576
2007-09,341.5987536285526
2007-10,358.50353114902924
2007-11,350.6310531336749
2007-12,344.7125015060996
2008-01,306.42973638540684
2008-02,310.62418454450267
2008-03,316.1436513348539
2008-04,329.2436872153142
2008-05,330.70404911591004
2008-06,293.2210381498923
2008-07,284.4743735875402
2008-08,273.30593784474905
2008-09,230.23403890669974
2008-10,174.32431162257646
2008-11,164.38128975556313
2008-12,178.78963563480525
2009-01,155.33471322172073
2009-02,137.61957632560188
2009-03,148.74494509258275
2009-04,171.5204622712579
2009-05,192.85764368314776
2009-06,188.1763810819193
2009-07,207.6959690518808
2009-08,223.7527207454183
2009-09,238.13565451489958
2009-10,230.15433500818736
2009-11,236.596842670258
2009-12,238.79247493821728
2010-01,221.2667203561052
2010-02,212.3074492751886
2010-03,225.6186049402724
2010-04,214.6169781401564
2010-05,184.7534861874361
2010-06,181.63016912233323
2010-07,207.61588791769205
2010-08,194.70810996454935
2010-09,220.0607594659056
2010-10,230.59599038298563
2010-11,200.52846294829263
2010-12,218.86611211519732
2011-01,236.02131699316476
2011-02,241.70366153843923
2011-03,242.26718569996663
2011-04,259.9365148524538
2011-05,246.95708311922073
2011-06,244.83473344356003
2011-07,226.33084539329218
2011-08,202.84553228872986
2011-09,177.75481093964518
2011-10,198.44154277664106
2011-11,185.666367001726
2011-12,180.61128881440368
2012-01,188.81549782034645
2012-02,199.63316512770476
2012-03,197.31000242401277
2012-04,183.87693662752082
2012-05,160.1295508517766
2012-06,177.72062327968897
2012-07,175.53205399159043
2012-08,187.90992635450755
2012-09,192.3347281014185
2012-10,197.5836290792386
2012-11,204.35776080024186
2012-12,211.85767563671183
2013-01,225.34093112395675
2013-02,214.72835703483824
2013-03,210.53073481368546
2013-04,224.16302567392214
2013-05,225.92470542852473
2013-06,213.1745964669027
2013-07,233.60139051930784
2013-08,230.32554232928047
2013-09,250.76121461437458
2013-10,265.66830235406917
2013-11,266.4125478562138
2013-12,270.9374028832186
2014-01,260.0363690097383
2014-02,279.75924006478374
2014-03,282.25584083876316
2014-04,287.9702377983153
2014-05,289.8852721802208
2014-06,288.6492768503963
2014-07,273.6250207853572
2014-08,274.80087243395855
2014-09,266.69579080715664
2014-10,256.3835344795668
2014-11,265.0296494957357
2014-12,250.56147934756837
2015-01,249.16364884098948
2015-02,266.3004174945718
2015-03,260.70413818243276
2015-04,271.6207331588807
2015-05,268.1662509744509
2015-06,262.0642233410231
2015-07,273.3020498556716
2015-08,254.2386845511213
2015-09,242.79571541589294
2015-10,261.5409204011429
2015-11,255.6994350414827
2015-12,247.4892782813578
2016-01,233.28268983865095
2016-02,227.08317199386332
2016-03,242.77413612707403
2016-04,247.57092657289098
2016-05,246.06503968812143
2016-06,230.25909004230832
2016-07,242.0664389615286
2016-08,243.26987755564687
2016-09,246.0488665108719
2016-10,243.5524159704741
2016-11,235.13169971457586
2016-12,249.38617224080602
2017-01,251.18983399224982
2017-02,253.79248002676349
2017-03,271.12066140923423
2017-04,283.671271
2017-05,298.077556
2017-06,294.550943
2017-07,307.782327
2017-08,309.100841
2017-09,318.861456
2017-10,321.042521
2017-11,320.635376
2017-12,319.752912
2018-01,343.75316
2018-02,326.001996
2018-03,322.619955
2018-04,333.83751410087444
2018-05,316.2118605889358
2018-06,315.5106534816377
2018-07,326.3371151282041
2018-08,315.6549157255599
2018-09,315.87702049620054
2018-10,287.8831868477596
2018-11,286.49796150001896
2018-12,273.0325024487772
2019-01,291.34925943363163
2019-02,302.0995192151342
2019-03,303.36859004852874
2019-04,316.23062598485893
2019-05,296.12175842521583
2019-06,318.1582581474279
2019-07,313.19304255894093
2019-08,306.72876811516517
2019-09,315.18594357982414
2019-10,323.72967319169345
2019-11,328.00390567414115
2019-12,338.9557638532614
2020-01,328.97582052050456
2020-02,300.86375532481514
2020-03,248.50557347117
2020-04,261.0593047981589
2020-05,275.3923780071115
2020-06,291.3376898181571
2020-07,300.96503422904095
2020-08,312.9641120528575
2020-09,300.37625484562125
2020-10,286.91434172936334
2020-11,348.54603262053126
2020-12,361.0999508938206
2021-01,353.5004257596714
2021-02,368.0418029379587
2021-03,378.56949695001447
2021-04,398.04356326904247
2021-05,415.9368877711013
2021-06,407.29793761819326
2021-07,414.5754518911388
2021-08,423.9049942399196
2021-09,402.9283200687298
2021-10,421.58469507227767
2021-11,397.48864219665364
2021-12,422.03673560036805
2022-01,399.74176029158883
2022-02,382.31260516213104
2022-03,377.7228526152018
2022-04,352.7746832577687
2022-05,359.09647346642396
2022-06,320.8095314494723
2022-07,338.26933999612925
2022-08,316.8478729510637
2022-09,289.2547205497004
2022-10,314.4757580870647
2022-11,353.83711273233126
2022-12,353.5069837925871
2023-01,393.3217468465108
2023-02,391.9500809547982
2023-03,403.2822337596661
2023-04,415.4209002875257
2023-05,390.99787227377703
2023-06,416.5950524210243
2023-07,428.98262068598615
