Date,OMAN DOMESTIC
2016-05,1127.8489577320843
2016-06,1127.2178968166797
2016-07,1148.9663297598242
2016-08,1125.7905912340548
2016-09,1129.3646207910776
2016-10,1109.2314201411364
2016-11,1142.8135877430361
2016-12,1226.9586798541766
2017-01,1172.5624090967747
2017-02,1169.2484037757288
2017-03,1127.6301394341192
2017-04,1127.2605828840096
2017-05,1060.9424211980036
2017-06,973.2102585502398
2017-07,932.3994137933786
2017-08,963.0021439605608
2017-09,999.253369350818
2017-10,994.0374493032459
2017-11,985.5087542912249
2017-12,959.3124873659272
2018-01,926.8300430384769
2018-02,945.4601275604422
2018-03,913.4302504463155
2018-04,917.044496256775
2018-05,947.0932920619725
2018-06,912.0976484023565
2018-07,869.8350016038004
2018-08,926.1779994730945
2018-09,1003.2173439961059
2018-10,1012.8432144640922
2018-11,1036.5961710120755
2018-12,996.5414163952796
2019-01,966.1328568810837
2019-02,973.4961377452066
2019-03,1031.8367464846538
2019-04,1027.8632590651823
2019-05,1049.3610262132142
2019-06,999.048999320779
2019-07,1027.226053196825
2019-08,1128.3969656101062
2019-09,1120.8544695605156
2019-10,1097.6564705662493
2019-11,1116.4700257269565
2019-12,1077.4340213759074
2020-01,1108.2408224775963
2020-02,1144.5146529267383
2020-03,979.906485275602
2020-04,1022.1215404728185
2020-05,1039.4618032426363
2020-06,1021.3125375077682
2020-07,968.1032007193895
2020-08,1058.7141904868529
2020-09,1013.2096724317696
2020-10,1004.0797924118965
2020-11,1055.7111243255122
2020-12,1062.12448880186
2021-01,1105.5170120747534
2021-02,1114.0464198038874
2021-03,1245.8239039427363
2021-04,1248.9420849580508
2021-05,1235.7637555342353
2021-06,1346.9277132244529
2021-07,1393.6182192834785
2021-08,1376.180591161201
2021-09,1402.6503674288758
2021-10,1506.5833102528127
2021-11,1510.2398448017607
2021-12,1525.8399341336478
2022-01,1668.0003377228134
2022-02,1659.8018786726202
2022-03,1851.2878852876668
2022-04,1992.0264626762441
2022-05,1966.901252170427
2022-06,2018.8923849707278
2022-07,2282.4396281405984
2022-08,2331.596348071094
2022-09,2279.909729969086
2022-10,2217.9665807942215
2022-11,2128.0857225949317
2022-12,2081.1677180428705
2023-01,2027.446814452296
2023-02,2126.693468842215
2023-03,2187.9753243686346
2023-04,2120.009091206821
2023-05,2141.3627095423008
2023-06,2182.490449458372
2023-07,2176.419183413506
