Date,PORTUGAL SMALL CAP
2019-01,224.314616442585
2019-02,219.4756062563773
2019-03,213.60098905901933
2019-04,223.06298220081874
2019-05,211.7792855133275
2019-06,222.16847036289434
2019-07,202.99427098258795
2019-08,189.8011065838016
2019-09,188.90526132733254
2019-10,202.18264385281066
2019-11,201.47033294850243
2019-12,206.7468762780979
2020-01,194.83815297094156
2020-02,164.0375031965471
2020-03,130.0838514687542
2020-04,142.55664526615956
2020-05,143.73327964477352
2020-06,149.00946807112635
2020-07,154.01203071413445
2020-08,155.8984575412646
2020-09,141.5819570561721
2020-10,129.84566049385163
2020-11,162.80567056467845
2020-12,169.01395265530536
2021-01,163.67795189830662
2021-02,171.13048112072374
2021-03,174.79218042767664
2021-04,184.2885325023648
2021-05,199.15467880223085
2021-06,189.3906397630114
2021-07,186.7251056258487
