Date,SLOVENIA
2020-07,512.5311396856542
2020-08,542.6811864891555
2020-09,503.4693433600941
2020-10,465.5747129472379
2020-11,569.3170795188817
2020-12,596.7256406885774
2021-01,608.3465676862256
2021-02,604.4947804591296
2021-03,605.5556059380999
2021-04,678.5475451613485
2021-05,719.1588697610518
2021-06,691.118663520097
2021-07,745.8969415012264
2021-08,769.0081574291097
2021-09,761.5016975346192
2021-10,763.1229540859832
2021-11,772.4244448852531
2021-12,799.0975772480245
2022-01,779.1878438228997
2022-02,597.8913020811956
2022-03,659.2914177650716
2022-04,585.6125195947067
2022-05,585.8643423239525
2022-06,592.1005547603428
2022-07,601.2340491671067
2022-08,615.641749274684
2022-09,520.3336553935517
2022-10,539.9925401277644
2022-11,594.3198672651264
2022-12,627.3114885040733
2023-01,698.8799270725797
