Date,QATAR SMALL CAP
2019-08,2701.0758320379964
2019-09,2859.847987793907
2019-10,2769.9472765935843
2019-11,2791.555603385753
2019-12,2708.865349469213
2020-01,2758.001946819115
2020-02,2435.561437476265
2020-03,2174.4181586236077
2020-04,2554.801501878028
2020-05,2500.926341524922
2020-06,2536.665583006004
2020-07,2627.604660168367
2020-08,2750.1365013464524
2020-09,2947.0703691112612
2020-10,2836.7152755390152
2020-11,2879.6720778287527
2020-12,2858.605537750677
2021-01,2910.160367691071
2021-02,2863.277585295933
2021-03,3203.656881850408
2021-04,3313.9109791184164
2021-05,3290.648397439995
2021-06,3294.620825841817
2021-07,3285.656394455548
2021-08,3378.2464004053318
2021-09,3488.2577840809026
2021-10,3568.1685741791525
2021-11,3629.806239358409
2021-12,3663.899031433689
2022-01,3841.8885103839043
