Date,OMAN DOMESTIC SMALL CAP
2014-10,1675.6140722482198
2014-11,1692.0609757203392
2014-12,1617.0384161701468
2015-01,1752.1733737915577
2015-02,1796.7085939814826
2015-03,1790.7454887375245
2015-04,1761.1909650377224
2015-05,1806.1397580678497
2015-06,1787.0691997219035
2015-07,1817.6793705098555
2015-08,1657.8821810259099
2015-09,1641.9232691004897
2015-10,1721.4192531184071
2015-11,1712.2404280579437
2015-12,1617.2524169740304
2016-01,1547.0051810220218
2016-02,1601.0422522836604
2016-03,1630.1077605917433
2016-04,1773.3003581349687
2016-05,1843.3181790002
2016-06,1848.84935902605
2016-07,1800.6941919040153
2016-08,1767.7718701467672
2016-09,1742.1658124013736
2016-10,1720.1729400630459
2016-11,1786.9684442809055
2016-12,1879.6359696387779
2017-01,1872.1113178323474
2017-02,1958.793219644138
2017-03,1905.4108123109388
2017-04,1954.4307358100564
2017-05,1884.085285196286
2017-06,1772.7868283949513
2017-07,1681.9132666347325
2017-08,1627.0714756311545
2017-09,1648.7873356068053
2017-10,1656.5615274180127
2017-11,1658.238920278445
2017-12,1649.1646023457665
2018-01,1554.1968415485703
2018-02,1578.5555279918838
2018-03,1536.224684889131
2018-04,1605.6812484319523
2018-05,1617.6718500552847
2018-06,1661.5562576026398
2018-07,1598.8100182854664
2018-08,1607.6833386923183
2018-09,1606.1455970531156
2018-10,1600.9784505471598
2018-11,1558.6512946131866
2018-12,1528.3027682387685
2019-01,1466.473347852371
2019-02,1459.3590803352565
2019-03,1481.021660621035
2019-04,1557.524369562036
2019-05,1564.526238299778
2019-06,1503.1374084077318
2019-07,1419.2526424174105
2019-08,1505.307712026052
2019-09,1533.1527980532474
2019-10,1490.6876559808127
2019-11,1530.127883466492
2019-12,1473.6098189297986
2020-01,1533.0847453885763
2020-02,1539.919755162343
2020-03,1357.4674558530244
2020-04,1396.3354867012574
2020-05,1389.9035972089148
2020-06,1381.8530433079443
2020-07,1341.791870287526
2020-08,1365.0927947930907
2020-09,1335.993322836127
2020-10,1325.561920143973
2020-11,1304.225466704223
2020-12,1258.4336750341654
2021-01,1234.9131119768626
2021-02,1215.8435792454552
2021-03,1326.5570777220678
2021-04,1323.51061922329
2021-05,1331.420568184834
2021-06,1446.3655884389038
2021-07,1410.311695942156
2021-08,1404.8524816854326
2021-09,1415.002486043632
2021-10,1478.945402578108
2021-11,1503.6704169547625
2021-12,1570.4061388629175
2022-01,1547.4238737284893
2022-02,1497.4731981420066
2022-03,1636.6891457984627
2022-04,1693.0260067105946
2022-05,1657.207318561376
2022-06,1726.2303610972715
2022-07,2009.9017708297883
2022-08,2053.7781725233217
2022-09,2108.8654647145563
2022-10,1993.6952187238192
2022-11,2040.6000577615323
2022-12,2087.4360575889605
2023-01,2010.2439802023273
2023-02,2043.6269557954472
2023-03,2030.7161599446376
2023-04,1984.8025606829012
2023-05,1999.1008998807888
2023-06,2033.4230216453689
2023-07,2040.5034853727693
