Date,BAHRAIN DOMESTIC SMALL CAP
2016-10,2011.9672649053716
2016-11,2131.294877344055
2016-12,2445.986642823198
2017-01,2666.6671953575615
2017-02,2651.7402494319595
2017-03,2462.1458857961225
2017-04,2424.4357631881985
2017-05,2234.8244116789197
2017-06,2198.8710234483933
2017-07,2197.730238200941
2017-08,2082.240764658263
2017-09,2067.7372837966977
2017-10,2062.305056947692
2017-11,1946.3264389909425
2017-12,2164.738205433515
2018-01,2308.9686896306707
2018-02,2268.9789086574865
2018-03,2170.5720322584284
2018-04,2118.864297575605
2018-05,2221.310201206024
2018-06,2214.7692068497095
2018-07,2143.2707036365864
2018-08,2104.4907511947545
2018-09,2124.634414699297
2018-10,2162.1581932348295
2018-11,2105.610565300423
2018-12,2134.619783355717
2019-01,2102.746121667023
2019-02,2149.661432412272
2019-03,2111.2801976503397
2019-04,2154.9708291647985
2019-05,2175.540005812593
2019-06,2144.221164271858
2019-07,2250.1412142932345
2019-08,2256.841711960561
2019-09,2272.5614735362037
2019-10,2255.9765650511677
2019-11,2255.9946113919873
2019-12,2231.60081546848
2020-01,2251.0084005049775
2020-02,2293.777688739084
2020-03,1968.0350086655314
2020-04,1886.3493506866137
2020-05,1768.4604660297089
2020-06,1791.7062610040477
2020-07,1730.7414354607138
2020-08,1748.9920486979422
2020-09,1819.3569278517655
2020-10,1741.5200363360025
2020-11,1702.7498437300567
2020-12,1718.769506987901
2021-01,1756.482856398004
2021-02,1741.1619563769561
2021-03,1763.0057951299198
2021-04,1761.237509942491
2021-05,1790.9450677301938
2021-06,1983.5028653270774
2021-07,2007.1327664663772
2021-08,2063.516478013155
2021-09,2097.989166991056
2021-10,2274.4563907000165
2021-11,2565.774706090119
2021-12,2832.300122469767
2022-01,2912.0280221093067
2022-02,2871.9713204678274
2022-03,2955.856646311328
2022-04,3301.269975483463
2022-05,3006.8241437875963
2022-06,2807.302857806215
2022-07,3002.636643307207
2022-08,3197.7602671424424
2022-09,2979.950380363804
2022-10,2949.6118114199376
2022-11,2906.9751594962536
2022-12,2750.2173200447246
2023-01,2735.7109142069785
2023-02,2822.5448655413284
2023-03,2830.7350367898375
2023-04,3126.8325071167515
2023-05,3586.1479926265283
2023-06,3629.841201692775
2023-07,4020.1127171087983
