Date,SRI LANKA
2018-12,585.8448763120731
2019-01,593.9482046251128
2019-02,603.8359850779904
2019-03,611.6321361009275
2019-04,586.4671335649007
2019-05,548.50243377329
2019-06,542.6678842537948
2019-07,599.2271444111445
2019-08,599.2424340921621
2019-09,592.4489324056932
2019-10,588.0883624762552
2019-11,640.1731941358292
2019-12,613.9950159640428
2020-01,601.4852148792222
2020-02,557.9446089579517
2020-03,410.3988593481208
2020-04,408.4318062810161
2020-05,403.11969870950423
2020-06,463.9505540287353
2020-07,406.7004605735445
2020-08,473.0258111527173
2020-09,480.58121683908206
2020-10,466.1156297306251
2020-11,501.9164217773034
2020-12,499.0865762786873
2021-01,560.8354784117881
2021-02,499.287057013049
2021-03,498.0066167674743
2021-04,465.5315448535732
2021-05,465.15165192593327
2021-06,467.95252131450985
