Date,SPAIN
2009-06,144.78678401774468
2009-07,163.35978481500686
2009-08,171.30822466932923
2009-09,176.81205295124593
2009-10,173.72898385163586
2009-11,178.1677422380959
2009-12,182.46066071224465
2010-01,166.23380170783574
2010-02,156.98090850027688
2010-03,163.88203564978895
2010-04,158.74192295920955
2010-05,143.42150845234522
2010-06,143.4057636328248
2010-07,164.44677792143514
2010-08,159.2832199981241
2010-09,163.98355318807123
2010-10,168.57915765375228
2010-11,143.2107686366471
2010-12,152.30168030508716
2011-01,169.2798679472089
2011-02,169.46033169463513
2011-03,163.58887974321618
2011-04,168.93816712257006
2011-05,164.6263831422736
2011-06,162.76401791792145
2011-07,152.1119546753708
2011-08,138.6811287874755
2011-09,136.63772021261587
2011-10,142.9426908990154
2011-11,135.79871805883468
2011-12,138.068685315302
2012-01,138.4173006914105
2012-02,137.86380413285676
2012-03,130.13366336611028
2012-04,114.60363554521929
2012-05,101.3736306372664
2012-06,119.46017659778796
2012-07,114.33089791236166
2012-08,126.43618682811837
2012-09,130.949015902482
2012-10,133.79992118141436
2012-11,135.7526989261771
2012-12,140.0305161338449
2013-01,145.04753306536705
2013-02,141.7665812244761
2013-03,135.75197311955824
2013-04,145.85412323614125
2013-05,144.0989739859041
2013-06,133.2543238408119
2013-07,147.06119314532296
2013-08,144.38231709540918
2013-09,160.78397082811202
2013-10,174.86139168625917
2013-11,174.06717888574101
2013-12,175.93686180237057
2014-01,176.1841642792741
2014-02,179.68863184122077
2014-03,184.30252490591053
2014-04,188.62606584027296
2014-05,196.2502022504258
2014-06,198.83268738704808
2014-07,196.93571020175796
2014-08,197.3631246203273
2014-09,199.3741874192068
2014-10,193.12165995642525
2014-11,199.86967707380228
2014-12,191.0318506242106
2015-01,191.67179745706756
2015-02,206.61920445068935
2015-03,213.99905917796164
2015-04,212.27574176019286
2015-05,209.82844498797743
2015-06,202.05649103695967
2015-07,211.25403660434225
2015-08,193.2458712034438
2015-09,179.2610097224386
2015-10,194.07918104741952
2015-11,195.71175851788942
2015-12,179.50344209773127
2016-01,166.10462019233444
2016-02,159.40311488449544
2016-03,164.11456580637505
2016-04,171.72875226689524
2016-05,172.17845694503802
2016-06,155.4290994949577
2016-07,164.30128334352793
2016-08,167.13064589707804
2016-09,167.97246735180997
2016-10,177.7846683735287
2016-11,168.13454107581083
2016-12,182.98393713605526
2017-01,183.414119140516
2017-02,187.5051192170769
2017-03,207.09284392510986
2017-04,212.65097021985613
2017-05,215.52204293529704
2017-06,209.5167321181964
2017-07,212.1525692526007
2017-08,207.83586848161247
2017-09,210.770927548411
2017-10,214.0991143615128
2017-11,207.90588819861512
2017-12,204.20062651084547
2018-01,214.4109010844704
2018-02,201.45105923092137
2018-03,195.9424066910428
2018-04,204.97959909170856
2018-05,192.47409383617398
2018-06,197.40198273994147
2018-07,204.4547805123512
2018-08,193.45031917463137
2018-09,193.72294418540807
2018-10,185.08875651737432
2018-11,188.6599493468607
2018-12,179.77594156067474
2019-01,190.83743972835015
2019-02,196.28018764771858
2019-03,195.83048901490017
2019-04,204.48478096386933
2019-05,193.20449773365706
