Date,QATAR DOMESTIC
2015-09,1575.8705311496733
2015-10,1600.1573974368905
2015-11,1451.0985005871087
2015-12,1464.2077039428882
2016-01,1301.4837684936074
2016-02,1397.0080146423966
2016-03,1407.9334569613368
2016-04,1373.0712763166503
2016-05,1327.496522480534
2016-06,1377.2857811457015
2016-07,1475.3966490904254
2016-08,1536.721898657559
2016-09,1439.5088400617663
2016-10,1437.9638849442188
2016-11,1432.8679519741133
2016-12,1549.8396244834623
2017-01,1533.2383021421406
2017-02,1593.0525519630837
2017-03,1568.3356059659727
2017-04,1513.2834364078842
2017-05,1447.2647124413381
2017-06,1310.9660341469023
2017-07,1335.2356350128978
2017-08,1237.6526817606352
2017-09,1200.46427432761
2017-10,1200.3323980841815
2017-11,1100.421290908983
2017-12,1229.8947249605756
2018-01,1263.853425401874
2018-02,1222.8861013844803
2018-03,1258.1423882072802
2018-04,1383.474638193791
2018-05,1387.0724340828644
2018-06,1394.9966419481018
2018-07,1532.4864661897002
2018-08,1557.1478376107466
2018-09,1545.5478239781555
2018-10,1686.6481693961773
2018-11,1724.465701665486
2018-12,1700.795554768869
2019-01,1759.2296681807895
2019-02,1680.461924232571
2019-03,1692.4909048759612
2019-04,1755.3050683351473
2019-05,1688.914439148273
2019-06,1670.78543469969
2019-07,1725.843924649529
2019-08,1713.405871187664
2019-09,1737.3808054097215
2019-10,1684.0798711815767
2019-11,1702.3197707659288
2019-12,1722.488193097917
2020-01,1739.975054449668
2020-02,1628.6788510375402
2020-03,1465.8948729312392
2020-04,1571.1444340704904
2020-05,1582.7237885471227
2020-06,1578.8912316311446
2020-07,1556.741157978773
2020-08,1602.6973544892078
2020-09,1638.7654984047258
2020-10,1608.4985132315187
2020-11,1646.4999928949878
2020-12,1634.5530446599068
2021-01,1665.425165643293
2021-02,1618.468491477716
2021-03,1732.9914484852986
2021-04,1762.5388109347334
2021-05,1710.3105863099645
2021-06,1771.6889349164403
2021-07,1774.43372187877
2021-08,1835.2213228390024
2021-09,1930.708101041011
2021-10,2008.0659664526452
2021-11,1973.283057492962
2021-12,1992.0709877984975
2022-01,2180.778018286153
2022-02,2278.037770786373
2022-03,2438.0828531398956
2022-04,2601.567473809651
2022-05,2416.32332195516
2022-06,2327.8398572449532
2022-07,2544.5773154877775
2022-08,2633.308279061373
2022-09,2561.778001449885
2022-10,2513.1801863977907
2022-11,2320.7558822346505
2022-12,2026.275415583669
2023-01,1996.2453133214844
2023-02,2005.6819147607337
2023-03,1962.6866024479382
2023-04,1898.4410869332892
2023-05,1961.5904412305988
2023-06,1901.7609924785245
2023-07,2051.7116154303753
