Date,PORTUGAL
2016-10,65.13977206230498
2016-11,62.5666691496783
2016-12,66.58751281409585
2017-01,64.56443457396382
2017-02,66.65693939465655
2017-03,71.08260400941448
2017-04,69.94690791781252
2017-05,74.03374351900582
2017-06,68.71655028021878
2017-07,70.07698985109253
2017-08,72.99671693702851
2017-09,75.03311641060816
2017-10,74.7194921372658
2017-11,74.3050129084796
2017-12,72.41806212328596
2018-01,72.92810150551107
2018-02,71.15735408576765
2018-03,72.89488085589291
2018-04,75.02813566696791
2018-05,77.4001724168642
2018-06,77.69799740934194
2018-07,81.37814259810665
2018-08,80.08285923352813
2018-09,77.67276167999515
2018-10,71.82237008227607
2018-11,69.61574202009011
2018-12,67.63032159814625
2019-01,70.74090333371507
2019-02,73.49185287368893
2019-03,75.89818148476496
2019-04,77.33582547356347
